"beta_true","sigma_true","n","beta_hat","sigma_hat","avg_runtime","cov_prob"
1,0.25,64,0.997882635533279,0.248258373557911,0.000719900131225586,0.95
1,0.25,128,1.00116725354507,0.250277655078608,0.000728178024291992,0.94
1,0.25,256,1.00052696197874,0.24877189893939,0.000756692886352539,0.99
1,0.25,512,1.000868906353,0.249403567903711,0.00082139253616333,0.96
1,0.5,64,0.990079956801638,0.499898306761266,0.000728993415832519,0.98
1,0.5,128,1.00496248800028,0.495268819160306,0.00075702428817749,0.96
1,0.5,256,0.998845227885994,0.504534516427347,0.000774223804473877,0.98
1,0.5,512,0.999221942120827,0.499974935782052,0.000822403430938721,0.95
1,1,64,0.978375000997347,0.985313693820377,0.000695662498474121,0.93
1,1,128,1.00202689903048,1.00191057512667,0.000726535320281983,0.95
1,1,256,0.990588096382362,1.00136777193832,0.000749983787536621,0.98
1,1,512,0.997965720353977,0.998198111787065,0.000808606147766114,0.96
1,2,64,0.948273729119402,1.99906993065659,0.000732436180114746,0.94
1,2,128,1.02815498722612,2.00329831741973,0.000755274295806885,0.96
1,2,256,0.994154560313479,2.00308829588456,0.000770483016967773,0.95
1,2,512,0.993710198518967,1.99944102802207,0.000810511112213135,0.98
2,0.25,64,1.99718255680473,0.24725764038808,0.000708844661712646,0.96
2,0.25,128,2.00183002332528,0.249614504764156,0.000732567310333252,0.97
2,0.25,256,2.00004742235537,0.250594975529175,0.000773191452026367,0.95
2,0.25,512,1.99915945222953,0.251292336815067,0.000815880298614502,0.99
2,0.5,64,1.98780249802557,0.495872097084401,0.000716125965118408,0.96
2,0.5,128,1.99888551623332,0.500424464276744,0.000733892917633057,0.96
2,0.5,256,1.99704623057082,0.496512329388966,0.00076995849609375,0.96
2,0.5,512,1.99842758017852,0.499813656749032,0.000821752548217773,0.95
2,1,64,2.00070157997211,1.01179714231388,0.000738818645477295,0.95
2,1,128,2.00381366431212,0.989849855173159,0.000724594593048096,0.97
2,1,256,2.00314638689896,0.991832835026754,0.000717959403991699,0.98
2,1,512,2.00856722055783,0.998994945169985,0.000792620182037354,0.91
2,2,64,1.98326076847501,2.01958858149103,0.000736021995544434,0.99
2,2,128,2.02254659791952,2.00040332737494,0.000733344554901123,0.96
2,2,256,2.00360620806866,2.00500807944148,0.000768880844116211,0.96
2,2,512,1.98973991240993,1.99750649640518,0.000800504684448242,0.94
4,0.25,64,4.00263005293361,0.249407282977282,0.000732638835906982,0.95
4,0.25,128,3.99938471690557,0.250058099375977,0.000757002830505371,0.94
4,0.25,256,4.00056777056559,0.250531684964531,0.000779047012329102,0.92
4,0.25,512,4.00198599344857,0.249809680873124,0.000823845863342285,0.97
4,0.5,64,4.00254057804566,0.493425110371882,0.00072310209274292,0.91
4,0.5,128,3.99776386799795,0.494230344540862,0.000758860111236572,0.97
4,0.5,256,3.99889892538928,0.498988344518793,0.000757007598876953,0.93
4,0.5,512,4.00182015230531,0.499341746191866,0.000815956592559815,0.94
4,1,64,3.99027523385523,1.00771778129811,0.000709254741668701,0.92
4,1,128,3.98988631169987,1.00638306058571,0.000721797943115234,0.94
4,1,256,3.99689095580276,1.00142910402054,0.000766720771789551,0.92
4,1,512,3.99869799462613,0.998085746081756,0.000817468166351318,0.96
4,2,64,3.95733186755431,1.99947177669847,0.000730779170989991,0.91
4,2,128,3.98898930094835,1.9967021137163,0.000750908851623535,0.94
4,2,256,4.01809910584841,1.99657671991183,0.000767028331756591,0.95
4,2,512,3.99859536118996,2.00635564342187,0.000765619277954102,0.99
8,0.25,64,8.00368340127058,0.25005651258179,0.00074077844619751,0.95
8,0.25,128,7.99837883253065,0.249390856471944,0.000741782188415527,0.93
8,0.25,256,7.99681657039372,0.251192299262109,0.000770778656005859,0.97
8,0.25,512,8.00229678456156,0.249790916832491,0.000813348293304443,0.97
8,0.5,64,7.99061999013835,0.488788651350339,0.00070925235748291,0.93
8,0.5,128,7.99406378132715,0.496870928107931,0.000751729011535644,0.95
8,0.5,256,8.00146286780002,0.504750186709644,0.000769875049591064,0.97
8,0.5,512,8.00028986258289,0.501240765469265,0.000812845230102539,0.99
8,1,64,7.99939805780181,0.981451604300625,0.000753886699676514,0.94
8,1,128,7.98519652447098,0.998223502637389,0.00078498363494873,0.95
8,1,256,7.9958050584253,0.994419188664348,0.00079432487487793,0.91
8,1,512,7.99616413571767,0.998254906844291,0.000825796127319335,0.98
8,2,64,7.97949252359278,1.98800832244289,0.000743451118469238,0.95
8,2,128,8.01429716787863,1.99723642878574,0.000762274265289307,0.95
8,2,256,8.03080927363068,1.99421034399213,0.000793161392211914,0.97
8,2,512,7.99482968725815,2.0002156936864,0.000824027061462402,0.96
